字	吳拼	釋義	英語	華語
#人稱				
我伲	ngou2 ni1	第一人稱複數	we	我們
我拉	ngou2 la1	第一人稱複數正式	we	我們
尔拉	ni2 la1	第二人稱複數正式	you	你們
尔拉	ng2 la1	第二人稱複數正式，又音	you	你們
佢拉	gei1 la1	第三人稱複數	they	他們
我儂	ngou2 nung1	第一人稱正式	I	我
尔儂	ni2 nung2	第二人稱正式	thou	您
尔儂	ng2 nung2	第二人稱正式，又音	thou	您
佢儂	gei1 nung1	第三人稱正式	he,she,they	他
我伲兩家頭				
㑚兩家頭				
佢拉兩家頭				
夫妻兩家頭				
夫妻道裏				
娘兩個				
爺兩個				
拜姆道裏				
姑嫂道裏				
婆新婦道裏				
弟兄兩家頭				
弟兄道裏				
姊妹兩家頭				
姊妹道裏				
#功能詞				
在許	lai3 hei2		at	在
扗許	leh hei2		at	在
扗居	leh kei1		at	在
在扗	lai3 leh		at	在
冊那	tsak na1		fuck	幹
全部	zae1 bu2		all	
嘸沒			not any	
#連接詞				
因爲	in1 yu3		because	
爲着	yu3 tzek		because, for	
因得			because	
所以	su2 yi2		therefore	
箇咾	geh lau2		therefore	
箇末	geh meh		so	
寔居	zhih kei1		thus, so	
乃末	nai2 meh		thus	
弗過	feh kou3		but	
但弗過	dae3 pih kou3		but	
个說話			if	
个閑話			if	
个閒話			if	
倘然			if	
假使			if	
倘使			if	
要是			if	
作興			if	
#疑問詞			
啥人	sa1 nin1		who	誰
何人	gha1 nin1		who	誰
何儂	gha1 nung1		who	誰
啥物事	sa1 meh zy3		what	什麼
何物	gha1 m1		what	什麼
啥個	sa1 keh		what	什麼
啥咾	sa1 lau2		what	什麼
啥體	sa1 thi2		what matter	何事
啥事體	sa1 zy3 thi2		what matter	何事
啥事幹	sa1 zy3 koe2		what matter	何事
啥場許	sa1 jiang2 ho2		where	哪裏
啥地方	sa1 di3 fong1		where	哪裏
啥戶蕩	sa1 wu2 dong2		where	哪裏
何裏頭	gha1 li2 deu1		in where	在哪
幾時	ki2 zhy1		when	何時
啥辰光	sa1 zhin1 kuong1		when	何時
何辰光	gha1 zhin1 kuong1		when	何時
何裏	gha1 li2		which	哪個
爲啥	yu3 sa1		why	爲何
爲啥咾	yu3 sa1 lau3		why	爲何
爲啥體	yu3 sa1 thi2		why	爲何
作啥	tzou3 sa1		what for	幹什麼
如何	na1 ha1		how	怎麼
如何儿	na1 hang2		how	怎麼
如然	na1 nen1		how	怎麼
幾許	ki2 ho3		how many	多少
幾鈿	ki2 diae1		how much	多少錢
#指示詞				
大家			together	
大家儂			together	
大家人			together	
自家			self	
別人家			other	
別人			other	
別个			other	
人家			other	
居物	kei1 m1		this thing	
箇物	geh m1		this thing	
於物	ei1 m1		that thing	
許物	hei2 m1		that thing	
居個	kei1 keh		this	
箇個	geh keh		this	
寔個	dih keh		this	
於個	ei1 keh		that	
許個	hei2 keh		that	
何裏個	gha1 li2 keh		which	
居隻	kei1 ciak		this	
箇隻	geh ciak		this	
寔隻	dih ciak		this	
於隻	ei1 ciak		that	
許隻	hei2 ciak		that	
何裏隻	gha1 li2 ciak		which	
居𡍲	kei1 tah		here	
箇𡍲	geh tah		here	
於𡍲	ei1 tah		there	
許𡍲	hei2 tah		there	
何𡍲	gha1 tah		where	
何裏𡍲	gha1 li2 tah		where	
居処	kei1 tah		here	
箇処	geh tah		here	
於処	ei1 tah		there	
許処	hei2 tah		there	
何処	gha1 tah		where	
何裏処	gha1 li2 tah		where	
居面	kei1 mie3		here	
箇面	geh mie3		here	
許面	hei2 mie3		here	
於面	ei1 mie3		there	
箇許	geh hei2		here	
箇盪	geh dong2		here	
於盪	ei1 dong2		there	
箇埭	geh da3		here	
於埭	ei1 da3		there	
攏總			all	
攏共			all	
寔介	zhih ka3		so, such	
寔介儿	zhih kang2		so, such	
介儿	kang2		so, such	
箇然	geh nen1		such	
#小稱單音				
筷儿	khuae2			
#天文				
太陽				
日頭				
旺太陽				
太陽旺				
旺日頭				
毒日頭				
亮光				
光線				
大白天亮				
陰頭裏				
背暗				
天亮				
天黑				
月亮				
亮月				
天狗喫太陽				
天狗喫月亮				
暗星夜				
天河				
掃帚星				
星星				
黃昏星				
搬場星				
星搬場				
#氣象				
大風				
颱風				
風吹				
風潮				
順風				
頂頭風				
陣頭風				
打頭風				
發風				
起風				
吹風				
順風				
逆風				
風色				
風頭				
風靜				
雲頭				
起陣頭				
烏雲				
缸爿頭雲				
鯉魚斑				
豁閃	hueh shie2			
雷響				
陣頭響				
空陣頭				
天打				
落雨				
雨落				
小雨				
細雨				
毛毛雨				
麻花雨				
大雨				
陣頭雨				
長腳雨				
黃梅雨				
天落水				
雨停				
結冰				
凌凙	ling1 dok			
凌凙儿	ling1 dong2			
瓦凌				
連底凍				
冰排				
落雪				
大雪				
雪珠				
雨夾雪				
臘雪				
春雪				
作雪				
雪躉				
雪煬				
煬雪				
開煬				
迷霧				
露水				
霜打				
明霜				
暗霜				
迷露				
大汛				
小汛				
起潮				
天氣				
天架				
好天				
天好				
天熱				
天冷				
天瀴				
暴冷				
暴熱				
風涼				
暖熱				
熱顯				
發冷信				
發冷汛				
還潮				
殟塞				
倒春寒				
拗春冷				
伏裏				
頭伏				
二伏				
大伏				
末伏				
黃梅天				
乾黃梅				
倒黃梅				
大水				
發大水				
天乾				
天變				
變天				
#地方				

